A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,XR l,2.04,,,,0.0062,13,1.3E-7,3
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,XR ka2,15.691,,,,0.035,8,5.5E-6,13
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,XR ka1,15.775,,,,0.067,16,1.1E-5,3
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,XR kb3,17.653,,,,0.0052,12,9.2E-7,22
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,XR kb1,17.667,,,,0.0101,24,1.8E-6,4
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,XR kb2,17.969,,,,0.0021,5,3.7E-7,9
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,266.9,1,,,7.4,11,0.020,3
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,273.0,10,,,0.072,18,2.0E-4,5
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,680.2,1,,,0.67,10,0.0045,7
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,714.4,2,,,0.017,3,1.25E-4,24
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,947.1,1,,,2.1,3,0.020,3
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,962.3,2,,,0.0122,23,1.17E-4,22
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,971.0,8,,,0.0068,25,6.6E-5,24
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,987.7,3,,,0.011,3,1.1E-4,3
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,1158.5,2,,,0.030,5,3.5E-4,6
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,1168.61,20,,,0.011,4,1.2E-4,5
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,1183.5,1,,,0.049,9,5.8E-4,10
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,1203.3,1,,,0.109,17,0.00131,20
93,Y,39,54,0.0,,1/2-,B-,100,,2895,10,10.18 H 8,36648.0,96 6,0.019 3,1172 23,0,0.48 10,0.0097 16,1.63E+3 3,0,0,0,0,2.90E+3 4,2895 10,0 AP,0 % AP,93Zr,g,,1237.4,1,,,0.030,8,3.7E-4,10
