A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,XR l,3.13,,,,1.01,10,3.2E-5,3
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,XR ka2,22.984,,,,3.5,4,8.0E-4,9
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,XR ka1,23.174,,,,6.5,7,0.00152,17
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,XR kb3,26.06,,,,0.57,6,1.48E-4,17
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,XR kb1,26.095,,,,1.09,12,2.9E-4,3
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,XR kb2,26.644,,,,0.28,3,7.5E-5,8
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,116.41,3,,,6.85,19,0.00797,22
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,123.67,6,,,5.2,3,0.0064,4
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,250.78,5,,,1.90,14,0.0048,4
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,263.87,2,,,32.4,9,0.0855,24
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,334.05,5,,,1.2,4,0.0040,13
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,347.38,6,,,3.5,4,0.0122,14
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,374.00,10,,,4.79,22,0.0179,8
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,409.79,3,,,12.0,5,0.0492,20
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,437.54,20,,,1.8,25,0,AP
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,441.05,10,,,3.1,3,0.0137,13
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,470.19,10,,,1.2,4,0.0056,19
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,553.50,20,,,0.91,21,0.0050,12
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,556.10,20,,,1.5,25,0,AP
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,591.30,5,,,7.4,5,0.044,3
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,600.31,15,,,1.6,25,0,AP
123,Ag,47,76,0.0,,(7/2+),B-,100,,7850,30,0.299 S 7,0.299,7.4E+2 4,2.86 20,3.14E+3 12,0,20.1 15,0.84 6,3.85E+3 15,0,0,0,0,7.75E+3 19,7.85E+3 3,0 AP,0 % AP,123Cd,g,,621.3,3,,,2.1,8,0.013,5
