A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,XR l,12.3,,,,47.1,20,0.00579,25
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,,74.4,,,,0.003,3,2.2E-6,22
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,,84.4,,,,1.52,7,0.00128,6
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,XR ka2,85.431,,,,22.1,6,0.0189,5
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,XR ka1,88.471,,,,36.1,10,0.0320,8
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,XR kb3,99.432,,,,4.42,12,0.00439,12
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,XR kb1,100.13,,,,8.46,22,0.00847,22
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,XR kb2,102.498,,,,3.19,9,0.00327,9
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,,131.35,,,,26.9,8,0.0353,10
224,Ac,89,135,0,,(0-),EC,90.9,17,1408,4,2.78 H 17,10008.0,150 4,72.8 11,0,0,30.8 8,6.9 3,1013 16,0,0,0,0,1273 17,1280 24,0 AP,0 % AP,224Ra,g,,166.4,,,,0.13,14,2.2E-4,22
