A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,g,XR l,0.78,,,,0.97,7,7.6E-6,5
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,g,XR ka2,6.915,,,,9.9,4,6.9E-4,3
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,g,XR ka1,6.93,,,,19.6,9,0.00136,6
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,g,XR kb1,7.649,,,,2.35,11,1.80E-4,8
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,g,XR kb3,7.649,,,,1.21,5,9.2E-5,4
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,g,Annihil.,511.0,,,,7.4E-5,24,,
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,e,Auger L,0.75,,,,134.4,4,0.001008,3
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,e,Auger K,6.07,,,,54.3,4,0.003296,22
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,bp,,24.69,27,51.00,19,3.7E-5,12,9.E-9,3
59,Ni,28,31,0.0,,3/2-,EC,100,,1073.00,19,7.6E+4 Y 5,2.3983776E12,3.8E-4 12,2.33 7,0,9.E-6 3,0,4.304 22,1066.03 17,0,0,0,0,1072.66 19,1073.00 19,0.3 3,0.032 % 25,59Co,bp av,,25,11,,,3.7E-5,12,9.E-9,5
