A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,XR l,7.66,,,,44.3,22,0.00339,17
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,,14.2,,,,0.168,,2.39E-5,
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,,22.85,22,,,0.0192,,4.4E-6,
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,,26.1,,,,1.58,,4.14E-4,
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,XR ka2,52.965,,,,28.8,17,0.0153,9
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,XR ka1,54.07,,,,50,3,0.0270,16
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,XR kb3,61.05,,,,5.5,3,0.00336,20
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,XR kb1,61.29,,,,10.7,6,0.0065,4
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,XR kb2,62.929,,,,3.61,21,0.00227,13
166,Hf,72,94,0.0,,0+,EC,100,,2160,40,6.77 M 30,406.2,153 9,57.9 19,0,7.9 15,18.6 4,10.4 3,1.87E+3 11,0,0,0,0,2.12E+3 11,2.16E+3 4,0 AP,0 % AP,166Lu,g,,78.76,10,,,44,3,0.034,3
