A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,XR l,11.1,,,,0.61,3,6.8E-5,3
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,XR ka2,76.863,,,,0.404,13,3.11E-4,10
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,XR ka1,79.29,,,,0.672,20,5.33E-4,16
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,XR kb3,89.256,,,,0.0813,24,7.25E-5,22
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,XR kb1,89.807,,,,0.156,5,1.40E-4,4
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,XR kb2,92.317,,,,0.0576,17,5.32E-5,16
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,,221.5,2,,,0.0027,9,6.0E-6,20
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,,230,1,,,0.0029,10,6.7E-6,22
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,,252.79,6,,,0.0123,18,3.1E-5,5
214,Bi,83,131,0.0,,1-,B-,99.9790,13,3269,11,19.71 M 2,1182.6000000000001,1474.9 24,1.177 19,641 6,0,13.55 19,0.106 4,1132 9,0,0,0,0,3262 11,3268 11,0 AP,0 % AP,214Po,g,,268.60,6,,,0.0159,18,4.3E-5,5
