A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,XR l,11.7,,,,0.05,3,6.E-6,4
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,XR ka2,81.069,,,,0.006,3,4.5E-6,23
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,XR ka1,83.787,,,,0.009,5,8.E-6,4
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,XR kb3,94.247,,,,0.0011,6,1.0E-6,5
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,XR kb1,94.868,,,,0.0021,11,2.0E-6,10
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,XR kb2,97.53,,,,8.E-4,4,8.E-7,4
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,,104.8,2,,,8.E-4,7,8.E-7,8
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,,110.2,1,,,0.027,19,3.0E-5,21
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,g,,214.9,1,,,0.004,4,9.E-6,9
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,e,CE K,6.40,20,,,0.006,6,4.E-7,4
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,e,Auger L,8.71,,,,0.07,3,6.E-6,3
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,e,CE K,11.80,10,,,0.010,7,1.2E-6,8
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,e,Auger K,62.7,,,,7.E-4,3,4.1E-7,21
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,e,CE L,86.75,20,,,0.003,3,2.2E-6,24
213,Ra,88,125,1770,7,(17/2-),A,0.6,4,6861.8,23,2.15 MS 7,0.00215,0.040 23,0.022 6,0,0,0.15 7,0.007 3,0,0.9 5,0,0,5.E+1 3,5.E+1 3,5.E+1 3,0 AP,0 % AP,209Rn,e,CE L,92.15,11,,,0.10,7,1.0E-4,7
