A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,XR l,13.0,,,,27.7,22,0.0036,3
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,19.55,5,,,0.0020,,3.910E-7,10
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,24.6,,,,0.058,35,1.4E-5,9
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,26.2,,,,0.20,,5.24E-5,
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,31.3,,,,0.18,,5.634E-5,
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,39.0,,,,0.016,,6.24E-6,
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,41.98,5,,,0.040,5,1.68E-5,21
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,50.8,,,,0.28,,1.422E-4,
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,XR ka2,89.957,,,,12.6,8,0.0114,7
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,XR ka1,93.35,,,,20.4,13,0.0190,12
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,XR kb3,104.819,,,,2.52,17,0.00264,17
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,XR kb1,105.604,,,,4.8,3,0.0051,3
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,XR kb2,108.582,,,,1.84,12,0.00200,13
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,143.765,2,,,3.35,25,0.0048,4
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,185.713,2,,,16.3,11,0.0303,20
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,198.927,3,,,2.80,34,0.0056,7
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,221.392,20,,,17.6,16,0.039,4
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,230.243,11,,,0.14,4,3.2E-4,9
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,240.876,4,,,4.05,30,0.0098,7
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,247.586,3,,,0.44,8,0.00109,20
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,272.181,2,,,2.61,33,0.0071,9
231,Ac,89,142,0.0,,1/2+,B-,100,,1947,13,7.5 M 1,450.0,387 9,43.7 15,4.8E+2 4,0,84 3,3.9 3,9.4E+2 7,0,0,0,0,1.94E+3 8,1947 13,0 AP,0 % AP,231Th,g,,282.471,2,,,38.9,21,0.110,6
