A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,XR l,4.29,,,,15.6,9,6.7E-4,4
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,,11.242,7,,,1.08,7,1.22E-4,8
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,XR ka2,30.625,,,,8.97,21,0.00275,6
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,XR ka1,30.973,,,,16.4,4,0.00509,12
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,XR kb3,34.92,,,,1.56,4,5.43E-4,12
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,XR kb1,34.987,,,,3.00,7,0.001050,23
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,XR kb2,35.818,,,,0.929,21,3.33E-4,8
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,,127.502,3,,,12.6,,0.0161,
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,g,,138.733,11,,,0.0039,3,5.4E-6,4
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,Auger L,3.55,,,,134.1,9,0.00476,3
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,CE L,5.528,7,,,77,5,0.0043,3
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,CE M,10.025,7,,,15.8,11,0.00159,11
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,Auger K,25.5,,,,3.73,14,9.5E-4,4
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,CE K,91.517,3,,,34.902,,0.0319414,
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,CE K,102.748,11,,,0.287,21,2.95E-4,21
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,CE L,121.788,3,,,40.572,,0.0494117,
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,CE M,126.285,3,,,9.0594,,0.0114407,
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,CE L,133.019,11,,,0.175,13,2.33E-4,17
134,Cs,55,79,138.7441,26,8-,IT,100,,,,2.912 H 2,10483.199999999999,16.192 8,10.43 14,0,0,99.2 3,5.71 5,0,0,0,0,0,131.6 3,138.744 3,7.2 3,5.16 % 25,134Cs,e,CE M,137.516,11,,,0.041,3,5.7E-5,4
