A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,XR l,4.29,,,,1.7,3,7.1E-5,15
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,XR ka2,30.625,,,,3.9,9,0.0012,3
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,XR ka1,30.973,,,,7.2,17,0.0022,5
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,XR kb3,34.92,,,,0.68,16,2.4E-4,6
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,XR kb1,34.987,,,,1.3,3,4.6E-4,11
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,XR kb2,35.818,,,,0.41,9,1.5E-4,3
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,75.2,3,,,5,5,0.004,4
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,76.9,3,,,4,3,0.0033,21
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,102.6,2,,,4,3,0.004,3
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,122.1,2,,,2.8,18,0.0034,21
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,126.4,2,,,3.4,16,0.0044,20
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,134.8,3,,,1.9,19,0.003,3
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,139.7,2,,,18,6,0.025,8
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,146.0,3,,,1.4,14,0.0021,21
120,Ba,56,64,0.0,,0+,EC,100,,5.00E3,30,24 S 2,24.0,1.27E+3 20,4.4 6,0,1.7E+3 3,0,0.92 14,2.8E+3 5,0,0,0,0,5.8E+3 6,5.0E+3 3,-8.E+2 7,-16 % 13,120Cs,g,,152.4,2,,,6.8,20,0.010,3
