A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,XR l,1.69,,,,0.363,23,6.1E-6,4
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,XR ka2,13.336,,,,2.43,18,3.24E-4,24
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,XR ka1,13.395,,,,4.7,3,6.3E-4,5
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,XR kb3,14.952,,,,0.34,3,5.1E-5,4
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,XR kb1,14.961,,,,0.67,5,9.9E-5,7
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,XR kb2,15.185,,,,0.105,8,1.59E-5,12
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,,129.82,4,,,0.15,4,1.9E-4,5
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,,151.194,15,,,12.8,4,0.0194,6
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,,281.01,3,,,4.0E-4,20,1.1E-6,6
85,Sr,38,47,238.79,5,1/2-,EC,13.4,4,1064.1,28,67.63 M 4,4057.7999999999997,19.7 6,1.13 5,0,0,0.86 3,0.71 3,153 9,0,0,0,0,175 9,175 5,0 AP,0 % AP,85Rb,g,,450.79,5,,,0.0107,6,4.8E-5,3
