A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,XR l,2.42,,,,0.120,5,2.91E-6,13
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,XR ka2,18.251,,,,0.58,3,1.06E-4,5
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,XR ka1,18.367,,,,1.10,5,2.03E-4,10
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,XR kb3,20.599,,,,0.090,4,1.84E-5,9
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,XR kb1,20.619,,,,0.173,9,3.58E-5,18
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,XR kb2,21.005,,,,0.0393,19,8.3E-6,4
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,Annihil.,511.0,,,,156,13,,
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,,642.9,5,,,0.46,12,0.0030,7
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,,928.3,2,,,1.66,16,0.0154,15
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,,1015.9,1,,,0.7,3,0.007,3
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,,1023.0,3,,,0.69,12,0.0071,12
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,,1111.2,1,,,26.2,13,0.291,14
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,,1396.2,1,,,38.5,,0.538,
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,g,,2039.1,2,,,9.2,5,0.188,10
93,Ru,44,49,734.4,1,(1/2)-,EC,78.0,23,6391,6,10.8 S 3,10.8,1.84E+3 7,0.374 11,0,1.58E+3 16,0.0055 19,0.146 4,2.01E+3 19,0,0,0,0,5.4E+3 3,5.56E+3 16,0 AP,0 % AP,93Tc,e,Auger L,2.17,,,,2.78,10,6.02E-5,22
