A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
72,Co,27,45,0.0,,"[6-,7-]",B-,100,,1.493E+4,60,59.9 MS 17,0.0599,0,0,3.02E+3 24,0,0,0,3.4E+3 4,0,0,0,0,6.4E+3 4,1.49E+4 6,8.5E+3 7,57 % 5,72Ni,bm,,5.34E+3,30,1.13E+4,6,30,3,1.60,18
72,Co,27,45,0.0,,"[6-,7-]",B-,100,,1.493E+4,60,59.9 MS 17,0.0599,0,0,3.02E+3 24,0,0,0,3.4E+3 4,0,0,0,0,6.4E+3 4,1.49E+4 6,8.5E+3 7,57 % 5,72Ni,bm,,5.92E+3,30,1.25E+4,6,24.0,24,1.42,16
72,Co,27,45,0.0,,"[6-,7-]",B-,100,,1.493E+4,60,59.9 MS 17,0.0599,0,0,3.02E+3 24,0,0,0,3.4E+3 4,0,0,0,0,6.4E+3 4,1.49E+4 6,8.5E+3 7,57 % 5,72Ni,bm av,,5.6E+3,6,,,54,4,3.0,4
