A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,XR l,4.11,,,,0.171,9,7.0E-6,4
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,XR ka2,29.461,,,,0.429,11,1.26E-4,3
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,XR ka1,29.782,,,,0.790,21,2.35E-4,6
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,XR kb3,33.562,,,,0.0739,19,2.48E-5,6
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,XR kb1,33.624,,,,0.143,4,4.80E-5,12
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,XR kb2,34.419,,,,0.0432,11,1.49E-5,4
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,,190.46,12,,,2.5E-4,25,5.E-7,5
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,,227.55,16,,,0.012,5,2.7E-5,11
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,,246.306,22,,,0.047,5,1.15E-4,12
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,,280.09,11,,,0.024,7,6.7E-5,19
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,,302.49,6,,,0.013,5,3.9E-5,15
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,,363.467,15,,,0.089,20,3.2E-4,7
130,I,53,77,0.0,,5+,B-,100,,2949,3,12.36 H 1,44496.0,2.14E+3 3,0.456 7,269 11,0,10.15 11,0.1012 23,534 20,0,0,0,0,2.95E+3 4,2949 3,0 AP,0 % AP,130Xe,g,,417.932,4,,,34.2,10,0.143,4
