A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,XR l,4.29,,,,1.29,10,5.5E-5,4
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,XR ka2,30.625,,,,2.91,19,8.9E-4,6
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,XR ka1,30.973,,,,5.3,4,0.00165,11
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,XR kb3,34.92,,,,0.50,3,1.76E-4,12
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,XR kb1,34.987,,,,0.97,6,3.41E-4,23
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,XR kb2,35.818,,,,0.301,20,1.08E-4,7
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,,55.7,3,,,0.06,6,3.E-5,3
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,,71.0,4,,,0.202,22,1.43E-4,16
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,,103.75,6,,,0.31,4,3.3E-4,4
139,Xe,54,85,0.0,,3/2-,B-,100,,5057,4,39.68 S 14,39.68,965 14,3.22 13,1.76E+3 23,0,23.9 8,0.70 3,2.4E+3 3,0,0,0,0,5.1E+3 4,5057 4,0 AP,0 % AP,139Cs,g,,119.4,4,,,1.5,15,0.0018,17
